name,text
コート・デュ・ローヌ,"500年の歴史を持つジゴンダスのワイナリーであり、トップ生産者のひとつ。ブラックベリーやカシスなどの黒系果実のアロマに、黒胡椒やバラのようなニュアンス。ローヌ南部のシラーならではのフレッシュな果実味と力強さが楽しめます。2,000円台という価格ながらもコストパフォーマンス抜群。エノテカでも人気のローヌワインです。"
ルックアウト・ケープ・レオパード・マウンテン・レッド,南アフリカ有数の銘醸地フランシュホークを拠点とするワイナリー、レオパーズ・リープ。ルックアウトシリーズは、毎日の食卓で楽しんでいただくことをコンセプトに造られたシリーズ。こちらの赤ワインは、華やかな香り、徐々にスパイシーな風味が感じられ巧みな味わいをお楽しみいただけます。
イル・プリンチペ,"ラッロは1860年創業のシチリアのワイナリーで、手掛けるワインがヴィニ・ディ・イタリア2014年版~2021年版まで8年連続で最高評価を獲得した、注目の生産者です。こちらはネロ・ダヴォラというシチリアの伝統品種を用いており、完熟フルーツの甘やかな香りと、まろやかな口当たりが特徴。1,000円台にもかかわらず、シチリアの魅力を存分に楽しむことができる仕上がりです。"
クラレンドル・ルージュ サン・テミリオン,5大シャトーの一角として君臨するシャトー・オー・ブリオンを所有する、クラレンス・ディロン・ワインズが造るクラレンドル・シリーズ。こちらのワインは、ボルドー右岸の銘醸地サン・テミリオンのブドウに限定して造られるワンランク上の赤ワインです。豊かなコクと滑らかなテクスチャーを兼備。全ての要素を高いレベルでまとめ上げた味わいです。
カベルネ・ソーヴィニヨン,近代的な設備と壮大な自然で観光地としても有名な、南アフリカ有数のワイナリー。こちらはカベルネ・ソーヴィニヨンを使った赤ワイン。口に含むと濃厚なベリー系果実の味わいに、徐々に黒系果実の風味が現れます。非常にバランスのとれた上品な味わいで、エレガントな風味が余韻に長く続きます。
ネプリカ・ネグロアマーロ,トルマレスカは、アンティノリ社が「エレガントでトップクオリティのワインを造り出す」という信念の元に立ち上げたワイナリー。ネプリカ・シリーズは、ネグロアマーロとプリミティーヴォ、カベルネ・ソーヴィニヨンの頭文字を取った、プーリア州の魅力を気軽に楽しめるシリーズ。こちらはネグロアマーロで仕立てる、豊かな果実味と柔らかなタンニンを感じる赤ワインです。
ペポリ・キャンティ・クラシコ,14世紀より続く歴史と伝統のあるイタリアワインの偉大な老舗ワインメーカー、アンティノリ。こちらはキャンティの主要品種サンジョヴェーゼとメルロ、シラーをブレンドしています。洗練されたモダンな雰囲気が漂う、非常にバランスの取れたスタイル。幅広い料理と相性抜群です。
マプ・グラン・レゼルヴァ・カベルネ・ソーヴィニヨン,「マプ・シリーズ」は、ボルドーの名門バロン・フィリップ・ド・ロスチャイルド社が、チリ有数の銘醸地マウレ・ヴァレーで手掛けるセレクション。こちらはステンレスタンクとフレンチオークの古樽、新樽をバランスよく使用し、カベルネ・ソーヴィニヨンのアロマと風味を際立たせた1本。複雑なニュアンスがバランスよく保たれた、豊かな果実味が中心のスタイルです。
サンタ・クリスティーナ・ロッソ,イタリアの名門アンティノリが手掛けるサンタ・クリスティーナ。1946年の発売以来長く愛され、イタリア国内で「その名を知らぬものはいない」と言われるロングセラーを記録しています。こちらのワインは、飲み心地の良いチャーミングなスタイルが特徴。イタリアワインらしく、食事との相性が抜群で、バランスに優れた1本です。
ロ・タンゴ・マルベック,クリスタル・ガラスで有名なスワロフスキー社が所有するワイナリー。こちらはアルゼンチンの代表品種であるマルベックを用いた赤ワインです。豊かな果実味、独特のタンニンはアルゼンチンを代表するブドウ品種、マルベックの特徴。アルゼンチンでもポピュラーな料理、牛肉の炭火グリルとの相性は抜群です。
エスクード・ロホ・レゼルヴァ・カベルネ・ソーヴィニヨン,メドック格付け第一級、シャトー・ムートンを手掛ける名門がチリの地で造る、「エスクード・ロホ・レゼルヴ」シリーズ。こちらはカベルネ・ソーヴィニヨン100%で仕立てる赤ワイン。マイポ・ヴァレ－の上品さと力強さが表現された、フレッシュで洗練されたスタイルです。
レ・ドゥー・アルビオン・ルージュ,500年の歴史を持つジゴンダスのワイナリーであり、トップ生産者の1つ、シャトー・ド・サン・コム。こちらは、オーナーであるルイ・バリュオール氏曰く、「ジゴンダスに繋がるような血統を感じられるワイン」とのこと。複数品種を使用することで、複雑で、果実味と酸のバランスが取れた仕上がりです。凝縮した果実味と洗練されたタンニンが織り成す、豊潤な味わいをお楽しみいただけます。
クロ・アンセストラル,こちらはトーレスが「古来品種復興プロジェクト」としてカタルーニャの文化やワイン造りの遺産を後世に残したいという想いを込めて手掛けるワインです。ペネデスにて栽培されているテンプラニーリョとガルナッチャに、高温や干ばつに耐性のある黒ブドウ「モネウ」がブレンドされています。ラズベリーやバラなどの華やかなアロマと凝縮感のある果実味が魅力の1本です。
サンタ・ディグナ・カベルネ・ソーヴィニヨン グラン・レゼルヴァ,スペインワインを牽引する名生産者、トーレスが欧州の伝統と技術を用いてチリで手掛ける造り手。こちらはワイン造りに携わる人々を大切にする取組みが評価され、サステナブル・ワイン・オブ・チリ認証を取得したシリーズです。カベルネ・ソーヴィニヨンをフレンチオーク主体のオーク樽で熟成しており、パワフルながら上品な味わいが魅力。シンプルな肉料理のほかにスモークハムや鶏肉とも相性抜群です。
レ・ヴァンダンジュ,ジャン・ピエール・ムエックス社はペトリュスをはじめ数々のプレミアムワインを育て上げた、ボルドーワインを語る上で欠かせない存在。こちらは、元々J.P.M 社が所有するシャトーで収穫の際に振る舞われ、皆で収穫の喜びを分かち合ってきたワイン。気軽にワインだけでも。食事と合わせても。リラックスして自由に楽しめる1本です。
カデ・ドック・ピノ・ノワール,5大シャトーの一角、シャトー・ムートン・ロスチャイルドを所有する、バロン・フィリップ社が南仏のラングドック地方で手掛けるワイン。一流の技術と、厳選された畑のブドウのみを使用して仕立てるため、手頃な価格ながら高品質をお楽しみいただけます。こちらはピノ・ノワール100%で仕立てる赤ワイン。瑞々しい果実味と酸、柔らかなタンニンが心地よいミディアムボディに仕上がっており、肉料理はもちろん、赤身の魚にもよく合います。
セレステ・クリアンサ,”キング・オブ・スペイン”と呼ばれ、「世界で最も称賛されるワインブランド」にも選ばれた名門トーレス。こちらは、標高900ｍの山の頂上、PAGO DEL CIERO（天空の畑）で造られるワインです。星座が描かれた美しいエチケットが特徴で、たっぷりとした果実味と、リッチで香ばしいオーク樽のニュアンスを楽しめます。生ハムの盛り合わせやタパス料理、パエリアなどと相性抜群です。
シャトー・ダルマイヤック,シャトー・ムートン・ロスチャイルドを手掛けるバロン・フィリップ・ド・ロスチャイルドが所有する第五級シャトー。その畑はムートン・ロスチャイルドとポンテ・カネに挟まれた素晴らしい立地です。ムートンファミリーの入門編に相応しいクオリティの高い味わいながら、1万円以下から手に入るお値打ちシャトーとなっています。
コルテ･ジャーラ・リパッソ・ヴァルポリチェッラ,ワイン評価誌ガンベロ・ロッソの2016年版にて、「ワイナリー・オブ・ザ・イヤー」を受賞しイタリア最高の生産者に輝いたアレグリーニ。こちらは「普段からお楽しみいただけるワイン」というコンセプトのハイコスパな1本。フルボディタイプながらも荒削りではなく、独自製法リパッソによる見事な旨味とコクを堪能できます。
カイケン・エステート・カベルネ・ソーヴィニヨン,カイケンは、チリにおけるモンテス社の知識と経験、アルゼンチンの恵まれた土壌が見事に融合した、ハイコスパ・デイリーワインの代名詞。こちらのワインは、程良く香る木樽のニュアンスが心地良く、ビターチョコレートやバニラのような複雑味も感じられ、非常にまろやかでバランスのとれた仕上がりです。
セラー・セレクション・ピノ・ノワール,国内外のコンクールで多数の受賞歴があるニュージーランドの生産者、シレーニ。こちらは、溢れる果実のアロマに軽やかなタンニンが心地良い赤ワインです。その上品な味わいは和食とも相性が良く、常備する1本としてもおすすめ。少し冷やしても美味しくお楽しみいただけます。
シラーズ,ワイン・アンド・スピリッツ誌のインターナショナル・ワイナリー・オブ・ザ・イヤーを獲得した、南オーストラリアのマクラーレン・ヴェールに位置するヤンガラ・エステート・ヴィンヤード。品種ごとの特長をよく表すスタンダード・シリーズ「エステート・コレクション」のひとつで、リッチながら上品にまとめ上げられたフィニッシュが魅力のシラーズです。
ヴィラ・アンティノリ・ロッソ,14世紀より続く歴史と伝統のあるイタリアワインのトップメーカー、アンティノリ。ヴィラ・アンティノリは、「所有するトスカーナ最高の畑から厳選したブドウを使用する」というコンセプトの元に造られる、エレガンスと気品を備えたシリーズ。厳選したサンジョヴェーゼと国際品種をブレンドして仕立てるスーパータスカンです。名家アンティノリ家の手腕を存分にご堪能いただける、大変コストパフォーマンスの高い1本をぜひご賞味ください。
ジェンセン・レガシー・キュヴェ・ピノ・ノワール,カレラは伝説的な醸造家、故ジョシュ・ジェンセン氏が1975年に創業し、「地球上で最も魅力的なピノ・ノワールのひとつ」と称されるワイナリー。こちらのジェンセン・レガシー・キュヴェ・ピノ・ノワールは、創業者の故ジョシュ・ジェンセン氏が追い求めた「完璧なワインづくり」への遺志を受け継ぎ新たに造られた、日本限定商品です。マウント・ハーランの自社畑を含めた複数のブドウをブレンドしています。タンニンはきめ細かく、ほのかな土っぽさやスパイスのニュアンスの混じる繊細なスタイル。カレラの真髄を感じられる、緻密で優美な味わいに仕上がっています。
カベルネ・ソーヴィニヨン・メルロ,スペイン・ソモンターノ地方のワイン造りをリードし、その名を世界の表舞台に知らしめたワイナリー、エナーテ。こちらの赤ワインは現地マドリッドやバルセロナのホテルやレストランで大人気の1本。ベリー系のアロマにソフトなタンニンが感じられ、豊かな果実味によるジューシーな味わいをお楽しみいただけます。
ジンガリ,スーパータスカンを生み出す偉大なワイン産地ボルゲリから僅か15kmの距離にあるスヴェレートで、最高峰のボルドースタイルのワイン造りを志し設立されたペトラ。こちらは、ペトラの魅力をより多くの方に知ってもらうために生み出された、4種類のブドウをブレンドして造られる1本。地中海の明るい雰囲気漂う、フレッシュな果実とピュアな旨味が溢れる赤ワインです。
